,Player Name,start_time,end_time,Team
0,ANS,2018-03-02,2019-01-16,BlossoM
1,ANS,2019-01-16,2019-12-23,Retired
2,ANS,2019-12-23,Present,San Francisco Shock
3,ATing,2017-02-19,2017-03-??,BBONG mE
4,ATing,2017-03-29,2019-01-25,Hong Kong Attitude
5,ATing,2019-03-14,2019-04-15,LGE.Huya
6,ATing,2019-06-03,2019-08-22,Nova Monster Shield
7,ATing,2020-01-14,2020-10-15,Chengdu Hunters
8,Ado,2017-04-28,2018-02-14,MVP Space
9,Ado,2018-02-14,2018-09-02,Shanghai Dragons
10,Ado,2018-12-05,2019-10-07,Washington Justice
11,Ado,2020-02-12,2020-10-18,Hangzhou Spark
12,Adora,2017-05-14,2017-11-08,Nc Wolves
13,Adora,2017-11-08,2018-06-08,Foxes
14,Adora,2018-06-10,2018-11-17,Seven
15,Adora,2018-11-17,2020-10-18,Hangzhou Spark
16,Agilities,2016-07-21,2016-09-12,Sodipop
17,Agilities,2016-09-12,2017-10-31,Immortals
18,Agilities,2017-10-31,2019-10-23,Los Angeles Valiant
19,Agilities,2019-10-29,2020-10-21,Toronto Defiant
20,Aid,2017-??-??,2017-04-??,GC Busan
21,Aid,2017-05-23,2017-09-18,ROX Orcas
22,Aid,2018-02-21,2018-10-12,GGEA
23,Aid,2018-10-30,2019-10-08,Toronto Defiant
24,Aid,2019-10-24,2020-10-23,Paris Eternal (Coach)
25,Aid,2020-10-28,Present,Dallas Fuel (Coach)
26,AimGod,2017-08-09,2018-01-??,Ardeont
27,AimGod,2018-02-04,2018-04-03,Meta Bellum
28,AimGod,2018-04-03,2019-10-21,Boston Uprising
29,AimGod,2019-11-07,2020-11-18,Washington Justice
30,Alarm,2016-??-??,2017-06-02,BK Stars
31,Alarm,2017-07-12,2017-10-23,Lunatic-Hai 2
32,Alarm,2017-10-23,2018-01-19,Lunatic-Hai
33,Alarm,2018-01-29,2019-10-30,Fusion University
34,Alarm,2019-10-30,Present,Philadelphia Fusion
35,Altering,2016-11-??,2017-10-31,LGD Gaming
36,Altering,2017-10-31,2018-09-02,Shanghai Dragons
37,Altering,2019-01-22,2018-01-25,Flag Gaming (Stand-in)
38,Altering,2019-07-??,Present,Bilibili Gaming (Coach)
39,ALTHOUGH,2019-05-??,2019-08-??,KPG
40,ALTHOUGH,2019-08-09,2019-12-27,Gen.S
41,ALTHOUGH,2019-12-27,2020-03-06,London Spitfire (Inactive)
42,ALTHOUGH,2020-03-06,2020-10-15,London Spitfire
43,Anamo,2016-??-??,2017-06-??,Mighty AOD
44,Anamo,2017-06-??,2018-01-??,Ardeont
45,Anamo,2018-03-31,2020-11-18,New York Excelsior
46,Anamo,2020-11-30,Present,Seoul Dynasty
47,Apply,2017-??-??,2017-??-??,Chicken Contenders
48,Apply,201?-??-??,2017-12-18,Sinatraas rap playlist
49,Apply,2017-12-18,2018-04-09,Kungarna
50,Apply,2018-04-09,2019-03-04,Mayhem Academy
51,Apply,2018-09-24,2019-04-05,Florida Mayhem
52,Apply,2019-04-05,2019-05-29,Florida Mayhem (Inactive)
53,Apply,2019-08-12,2019-08-??,Third Impact (Loan)
54,Apply,2019-06-11,2019-10-16,Revival
