,Romanized Name,Birth,Country,Status,Team,Approx. Total Earnings,Common Team Role(s),Signature Hero,Player Name
0,Lee Seon-chang,2000-02-04 , South Korea,Active,San Francisco Shock,"$293,877",DPS,"Widowmaker, Hanzo, McCree, Ashe, Sombra",ANS
1,Chen Shao-Hua,1997-05-03 , Taiwan,Active,,"$25,417",Tank,"Reinhardt, Winston",ATing
2,Chon Gi-hyeon,1999-11-16 , South Korea,Active,,"$12,299",DPS,"Genji, Tracer, Pharah, McCree",Ado
3,Kang Jae-hwan,1998-05-11 , South Korea,Active,,"$80,415",DPS,"Tracer, Genji, Mei, Echo",Adora
4,,1999-12-27 , Canada,Active,,"$105,783",DPS,"Genji, Pharah, Roadhog, Doomfist, Mei",Agilities
5,Go Jae-yoon,1994-04-07 , South Korea,Active,Dallas Fuel,"$10,039",Support,"Lúcio, Mercy",Aid
6,Kwon Min-seok,1999-03-31 , South Korea,Active,,"$103,908",Support,"Zenyatta, Ana, Moira",AimGod
7,Kim Kyung-bo,2001-07-20 , South Korea,Active,Philadelphia Fusion,"$131,662",Support,"Ana, Zenyatta, Baptiste, Moira, Brigitte",Alarm
8,Cheng Yage,1994-03-22 , China,Active,Bilibili Gaming,"$10,736",Coach,"Mercy, Lúcio",Altering
9,Jung Hyun-wook,2002-03-06 , South Korea,Active,,$561,DPS,"Doomfist, Mei, Echo, Sombra",ALTHOUGH
10,Jung Tae-sung,1997-09-02 , South Korea,Active,Seoul Dynasty,"$247,329",Support,"Lúcio, Baptiste, Mercy",Anamo
11,,2000-06-19 , United States,Active,,"$27,735",DPS,"Genji, Pharah, Junkrat, Mei",Apply
12,Jeong Won-hyeop,1995-11-03 , South Korea,Active,,"$38,328",CoachDPS,"Genji, Tracer, Hanzo",ArHaN
13,Hong Yeon-joon,1998-01-11 , South Korea,Retired,,"$155,245",Support,"Mercy, Lúcio, Ana",ArK
14,Park Min-ho,2000-02-26 , South Korea,Active,Hangzhou Spark,"$269,809",DPS,"Genji, Pharah, Doomfist, Hanzo, Widowmaker",Architect
15,Choi Joon-seong,1995-09-12 , South Korea,Retired,,"$39,367",DPS,"Tracer, McCree",Asher
16,Yoon Hui-chang,1999-02-02 , South Korea,Active,Washington Justice,"$90,832",Support,"Zenyatta, Ana",BeBe
17,Shin Se-won,2000-08-18 , South Korea,Active,Hangzhou Spark,"$37,703",Tank,"D.Va, Zarya, Roadhog, Sigma",BERNAR
18,Park Sang-beom,1999-08-05 , South Korea,Active,,"$193,560",Tank,"Reinhardt, Winston, D.Va, Zarya, Lúcio",Bumper
19,Park Sang-jun,2001-01-25 , South Korea,Active,,$345,DPS,"Widowmaker, Hanzo, McCree, Ashe",Babel
20,Lo Tzu-Heng,1998-02-27 , Taiwan,Retired,,"$38,796",DPS,"Reaper, Tracer, Hanzo, Soldier, 76, Widowmaker",Baconjack
21,,1993-09-28 , Canada,Active,,"$25,580",CoachSupport,"Ana, Mercy, Lúcio, Zenyatta, Sombra",Bani
22,Park Jun-ki,1999-03-24 , South Korea,Retired,,"$82,032",DPS,"Widowmaker, Tracer, McCree, Doomfist",Bazzi
23,Choi Seung-tae,1996-08-18 , South Korea,Active,,"$380,822",Support,"Zenyatta, Moira, Ana, Roadhog, Tracer",Bdosin
24,,1995-04-25 , Argentina,Retired,,"$13,566",Tank,"D.Va, Roadhog, Zarya",Beast
25,,1995-11-17 , France,Active,,"$40,698",Tank,"Reinhardt, Orisa, Winston",BenBest
26,Kim Dong-wook,2002-01-01 , South Korea,Active,,"$67,007",Tank,"D.Va, Zarya",BiaNcA
27,,1996-11-03 , Finland,Retired,,"$115,151",Support,"Lúcio, Mercy, Brigitte",BigG00se
28,Kim Ji-hyeok,1999-05-28 , South Korea,Active,Los Angeles Gladiators,"$267,296",DPS,"Widowmaker, Tracer, McCree, Junkrat, Ashe",Birdring
29,"Hyung-seok ""Aaron"" Kim",1994-08-28 , South Korea,Active,,"$58,379",Tank,"D.Va, Roadhog",Bischu
30,,, United States,Active,Houston Outlaws,"$20,012",Support,"Lúcio, Mercy, Baptiste",Boink
31,,1997-04-17 , United Kingdom,Active,,"$184,142",Support,"Zenyatta, Baptiste, Moira, Ana, Roadhog",Boombox
32,Chae Joon-hyuk,1998-05-15 , South Korea,Active,,"$76,730",DPS,"Tracer, Widowmaker, McCree, Soldier, 76",Bunny
33,,, Sweden,Active,,"$12,885",Coach,"Winston, Genji, Reinhardt, Pharah",CWoosH
34,,2001-12-04 , United States,Retired,,"$22,423",Support,"Lúcio, Mercy, Brigitte",Carcar
35,Kim Jung-yeon,1998-08-04 , South Korea,Retired,,"$30,886",Support,"Lúcio, Mercy, Brigitte",Chara
36,,1997-11-22 , United Kingdom,,,"$72,004",DPS,"Doomfist, Genji, Widowmaker",ChipSa
37,,1992-02-28 , Sweden,Inactive,,"$63,194",Support,"Ana, Mercy, Zenyatta, Sombra",Chipshajen
38,Choi Hyo-bin,1997-09-05 , South Korea,Active,San Francisco Shock,"$544,497",Tank,"D.Va, Roadhog, Sigma, Zarya",ChoiHyoBin
39,Cho Gun-hee,2001-11-11 , South Korea,Active,,"$2,202",Tank,"D.Va, Zarya",Clestyn
40,,, United States,Retired,,"$16,922",Coach,"Tracer, Soldier, 76, McCree, Pharah",Clockwork
41,Jung Won-sik,1998-05-16 , South Korea,Active,Washington Justice,"$240,010",Support,"Mercy, Lúcio, Ana, Baptiste",Closer
42,Son Kyung-woo,1995-08-09 , South Korea,Active,,"$51,146",Support,"Lúcio, Mercy, Ana",CoMa
43,Tong Xiaodong,1999-03-13 , China,Active,Hangzhou Spark,"$29,647",Support,"Zenyatta, Ana, Moira",ColdesT
44,,1997-11-17 , New Zealand,Active,Boston Uprising,"$7,982",DPS,"Widowmaker, Pharah, Echo, Genji, Tracer",Colourhex
45,,1999-05-11 , United States,Retired,,"$8,441",DPS,"Widowmaker, McCree, Tracer, Reaper, Hanzo",Corey
46,Nam Ki-cheol,1998-10-03 , South Korea,Active,Guangzhou Charge,"$47,855",Tank,"D.Va, Zarya, Sigma, Roadhog",Cr0ng
47,Kim Young-wan,2001-11-04 , South Korea,Active,Seoul Dynasty,"$148,235",Support,"Zenyatta, Ana",Creative
48,,1999-10-03 , Canada,Active,Houston Outlaws,"$62,277",Support,"Zenyatta, Moira, Ana",Crimzo
